LONGITUDE LATITUDE PRCP
-80.4644 33.3714 0.01
-80.4079 33.389 0.02
-80.2592 33.4887 0.01
-79.9598 33.6874 0.01
-80.3136 33.9024 0.01
-80.2956 33.9349 0.01
-80.2384 33.9524 0.01
-80.1601 33.9224 0.01
-80.2203 33.9849 0.01
-80.2022 34.0173 0.01
-80.1631 34.0023 0.01
-80.1841 34.0498 0.01
-79.7542 33.8833 0.01
-80.166 34.0823 0.01
-79.7748 33.9309 0.01
-79.7358 33.9157 0.01
-80.1478 34.1148 0.02
-79.7564 33.9633 0.01
-79.7174 33.948 0.01
-80.1689 34.1624 0.02
-80.1296 34.1474 0.01
-80.0903 34.1323 0.02
-79.738 33.9956 0.01
-79.699 33.9804 0.01
-79.66 33.9651 0.01
-80.1507 34.1949 0.01
-80.1114 34.1799 0.03
-80.0721 34.1648 0.03
-79.7586 34.0433 0.01
-79.7196 34.028 0.01
-79.6805 34.0127 0.01
-79.6415 33.9974 0.02
-79.4079 33.9051 0.01
-79.2915 33.8587 0.01
-80.0931 34.2124 0.02
-80.0538 34.1973 0.01
-79.7402 34.0757 0.01
-79.7011 34.0604 0.01
-79.662 34.0451 0.02
-79.623 34.0297 0.01
-79.584 34.0144 0.01
-79.506 33.9836 0.01
-79.7609 34.1233 0.01
-79.7217 34.1081 0.01
-79.6826 34.0927 0.01
-79.6435 34.0774 0.01
-79.6045 34.0621 0.01
-79.5654 34.0467 0.01
-79.5264 34.0313 0.02
-79.4875 34.0159 0.01
-79.4485 34.0005 0.01
-79.4096 33.985 0.01
-79.3707 33.9696 0.01
-79.3318 33.9541 0.01
-79.7424 34.1558 0.01
-79.7032 34.1404 0.01
-79.6641 34.1251 0.01
-79.625 34.1098 0.01
-79.5859 34.0944 0.02
-79.5469 34.079 0.01
-79.5079 34.0636 0.01
-79.4299 34.0328 0.01
-79.3909 34.0173 0.01
-79.352 34.0018 0.01
-79.3131 33.9863 0.02
-79.7631 34.2035 0.01
-79.6847 34.1728 0.01
-79.6456 34.1575 0.01
-79.6065 34.1422 0.02
-79.5674 34.1268 0.03
-79.5283 34.1114 0.01
-79.4892 34.096 0.01
-79.4502 34.0805 0.01
-79.4112 34.0651 0.01
-79.3722 34.0496 0.02
-79.3333 34.0341 0.01
-79.2944 34.0186 0.01
-79.2555 34.0031 0.02
-79.2166 33.9875 0.01
-79.7446 34.2359 0.01
-79.6662 34.2053 0.03
-79.627 34.1899 0.01
-79.5879 34.1745 0.01
-79.5488 34.1591 0.02
-79.5097 34.1437 0.03
-79.4706 34.1283 0.01
-79.3925 34.0974 0.01
-79.3535 34.0819 0.02
-79.3146 34.0664 0.02
-79.2756 34.0508 0.01
-79.1978 34.0197 0.02
-79.8833 34.3294 0.01
-79.7654 34.2836 0.04
-79.7261 34.2683 0.01
-79.6869 34.253 0.01
-79.6476 34.2377 0.02
-79.6084 34.2223 0.03
-79.5693 34.2069 0.03
-79.5301 34.1915 0.03
-79.491 34.1761 0.04
-79.4519 34.1606 0.01
-79.3738 34.1297 0.04
-79.3348 34.1142 0.01
-79.2958 34.0986 0.05
-79.2569 34.0831 0.03
-79.2179 34.0675 0.01
-79.179 34.0519 0.04
-79.1401 34.0363 0.01
-79.1013 34.0207 0.02
-80.1411 34.4682 0.01
-79.8649 34.3619 0.01
-79.8255 34.3467 0.02
-79.7862 34.3314 0.01
-79.7468 34.3161 0.03
-79.7075 34.3008 0.01
-79.6683 34.2854 0.02
-79.629 34.2701 0.01
-79.5898 34.2547 0.03
-79.5506 34.2393 0.07
-79.5115 34.2239 0.01
-79.4723 34.2084 0.03
-79.4332 34.193 0.03
-79.3941 34.1775 0.01
-79.3551 34.162 0.02
-79.3161 34.1465 0.06
-79.277 34.1309 0.02
-79.2381 34.1154 0.03
-79.1991 34.0998 0.04
-79.1602 34.0842 0.03
-79.1213 34.0686 0.05
-79.0824 34.0529 0.01
-80.0832 34.4857 0.01
-79.8464 34.3945 0.01
-79.807 34.3792 0.02
-79.7676 34.3639 0.04
-79.7283 34.3486 0.03
-79.689 34.3332 0.08
-79.6497 34.3179 0.01
-79.6104 34.3025 0.04
-79.5712 34.2871 0.01
-79.532 34.2717 0.03
-79.4928 34.2562 0.06
-79.4536 34.2408 0.04
-79.4145 34.2253 0.03
-79.3754 34.2098 0.03
-79.3363 34.1943 0.02
-79.2973 34.1788 0.06
-79.2582 34.1632 0.03
-79.2192 34.1476 0.04
-79.1803 34.132 0.03
-79.1024 34.1008 0.03
-79.0635 34.0851 0.01
-80.0253 34.5031 0.01
-79.7884 34.4117 0.02
-79.7491 34.3964 0.02
-79.7097 34.381 0.03
-79.6704 34.3657 0.07
-79.6311 34.3503 0.02
-79.5918 34.3349 0.04
-79.5525 34.3195 0.02
-79.5133 34.3041 0.01
-79.4741 34.2886 0.09
-79.4349 34.2731 0.03
-79.3958 34.2577 0.02
-79.3566 34.2421 0.03
-79.3175 34.2266 0.02
-79.2785 34.2111 0.05
-79.2394 34.1955 0.06
-79.2004 34.1799 0.02
-79.1614 34.1643 0.05
-79.1224 34.1487 0.03
-79.0835 34.133 0.06
-79.0446 34.1173 0.01
-80.0068 34.5357 0.01
-79.8488 34.4748 0.01
-79.8093 34.4595 0.01
-79.7699 34.4442 0.02
-79.7305 34.4289 0.02
-79.6911 34.4135 0.05
-79.6518 34.3981 0.06
-79.6124 34.3828 0.12
-79.5731 34.3673 0.04
-79.5339 34.3519 0.07
-79.4946 34.3365 0.04
-79.4554 34.321 0.04
-79.4162 34.3055 0.07
-79.377 34.29 0.03
-79.3379 34.2745 0.03
-79.2987 34.2589 0.03
-79.2596 34.2434 0.03
-79.2206 34.2278 0.06
-79.1815 34.2122 0.04
-79.1425 34.1965 0.04
-79.1035 34.1809 0.03
-79.0256 34.1495 0.04
-80.028 34.5835 0.01
-79.9884 34.5683 0.02
-79.7908 34.492 0.02
-79.7513 34.4767 0.04
-79.7119 34.4613 0.03
-79.6725 34.446 0.03
-79.6331 34.4306 0.1
-79.5938 34.4152 0.13
-79.5544 34.3998 0.06
-79.5151 34.3843 0.06
-79.4759 34.3689 0.07
-79.4366 34.3534 0.03
