LONGITUDE LATITUDE PRCP
-81.0818 32.1313 13.15
-81.0438 32.117 13.69
-81.0059 32.1027 12.2
-80.968 32.0884 12.94
-80.9301 32.0741 11.93
-81.1029 32.1777 12.22
-81.0649 32.1634 13.8
-81.027 32.1491 13.72
-80.989 32.1348 13.61
-80.9511 32.1205 14.09
-80.9132 32.1062 12.69
-80.8753 32.0918 11.91
-81.1241 32.2241 13.17
-81.0861 32.2098 13.23
-81.0481 32.1956 14.28
-81.0101 32.1813 14.45
-80.9721 32.167 14.15
-80.9342 32.1526 14.33
-80.8963 32.1383 13.75
-80.8584 32.1239 13.14
-80.8205 32.1095 12.31
-81.1072 32.2563 14.9
-81.0692 32.242 14.81
-81.0312 32.2277 15.28
-80.9932 32.2134 14.88
-80.9552 32.1991 14.86
-80.9172 32.1847 14.33
-80.8793 32.1704 13.93
-80.8414 32.156 13.59
-80.8035 32.1416 13.41
-81.0904 32.2885 15.29
-81.0523 32.2742 15.32
-81.0143 32.2599 15.49
-80.9762 32.2456 16.03
-80.9382 32.2312 16.24
-80.9003 32.2169 15.69
-80.8623 32.2025 14.33
-80.8244 32.1881 13.65
-80.7865 32.1737 13.68
-80.7486 32.1592 14.84
-81.1497 32.3492 13.13
-81.1116 32.3349 15.32
-81.0735 32.3206 16.16
-81.0354 32.3064 15.21
-80.9973 32.292 15.38
-80.9593 32.2777 16.36
-80.9213 32.2634 16.47
-80.8833 32.249 16.41
-80.8453 32.2346 15.49
-80.8073 32.2202 14.28
-80.7694 32.2057 14.75
-80.7315 32.1913 14.36
-81.171 32.3957 14.05
-81.1329 32.3814 14.36
-81.0947 32.3671 16.18
-81.0566 32.3528 16.98
-81.0185 32.3385 16.45
-80.9804 32.3242 16.72
-80.9423 32.3099 16.3
-80.9043 32.2955 15.08
-80.8663 32.2811 15.09
-80.8283 32.2667 14.5
-80.7903 32.2523 13.9
-80.7523 32.2378 14.82
-80.7144 32.2234 14.86
-81.1924 32.4422 14.24
-81.1542 32.4279 14.87
-81.116 32.4136 15.0
-81.0778 32.3994 16.71
-81.0396 32.3851 17.72
-81.0015 32.3707 17.19
-80.9634 32.3564 16.47
-80.9253 32.342 16.29
-80.8873 32.3276 14.94
-80.8492 32.3132 14.75
-80.8112 32.2988 13.86
-80.7732 32.2844 13.57
-81.2138 32.4887 12.68
-81.1755 32.4744 14.4
-81.1373 32.4602 15.51
-81.099 32.4459 15.65
-81.0608 32.4316 16.18
-81.0227 32.4173 17.36
-80.9845 32.4029 18.26
-80.9464 32.3886 17.25
-80.9083 32.3742 15.74
-80.8702 32.3598 15.09
-80.8322 32.3454 14.65
-80.7941 32.331 13.57
-80.7561 32.3165 13.32
-80.6422 32.273 16.42
-81.3502 32.5778 7.43
-81.3119 32.5636 7.79
-81.2735 32.5494 9.14
-81.2352 32.5352 10.53
-81.1969 32.5209 12.7
-81.1586 32.5067 14.28
-81.1203 32.4924 15.8
-81.0821 32.4781 16.8
-81.0439 32.4638 15.97
-81.0057 32.4495 16.81
-80.9675 32.4351 17.88
-80.9294 32.4208 18.46
-80.8912 32.4064 16.39
-80.8531 32.392 15.45
-80.8151 32.3775 15.02
-80.777 32.3631 14.19
-80.739 32.3486 13.73
-80.701 32.3341 14.71
-80.663 32.3196 15.51
-80.625 32.3051 16.94
-80.5871 32.2906 16.67
-81.3718 32.6243 6.83
-81.3334 32.6101 7.5
-81.295 32.5959 7.83
-81.2566 32.5817 9.33
-81.2183 32.5675 10.62
-81.18 32.5532 11.95
-81.1417 32.539 14.16
-81.1034 32.5247 15.8
-81.0651 32.5104 16.72
-81.0269 32.496 17.06
-80.9887 32.4817 17.56
-80.9505 32.4673 17.32
-80.9123 32.453 17.37
-80.8742 32.4385 16.37
-80.8361 32.4241 16.15
-80.798 32.4097 15.39
-80.7599 32.3952 14.63
-80.7218 32.3807 14.07
-80.6838 32.3662 14.57
-80.6458 32.3517 15.07
-80.6078 32.3372 16.61
-80.5698 32.3226 17.36
-80.5319 32.308 16.31
-81.3935 32.6708 6.91
-81.355 32.6566 6.87
-81.3166 32.6425 7.4
-81.2781 32.6283 7.98
-81.2398 32.614 9.27
-81.2014 32.5998 10.19
-81.163 32.5855 11.55
-81.1247 32.5713 14.04
-81.0864 32.557 15.8
-81.0481 32.5426 16.66
-81.0099 32.5283 18.0
-80.9717 32.5139 16.98
-80.9334 32.4996 16.28
-80.8953 32.4852 16.5
-80.8571 32.4707 16.25
-80.8189 32.4563 16.34
-80.7808 32.4418 15.77
-80.7427 32.4274 15.11
-80.7047 32.4129 14.13
-80.6666 32.3984 13.69
-80.6286 32.3838 14.67
-80.5906 32.3693 15.63
-80.5526 32.3547 16.61
-80.5146 32.3401 16.85
-80.4767 32.3255 15.61
-81.4151 32.7173 6.31
-81.3766 32.7032 6.82
-81.3382 32.689 6.9
-81.2997 32.6748 7.25
-81.2613 32.6606 8.22
-81.2229 32.6464 9.33
-81.1845 32.6321 10.95
-81.1461 32.6178 11.69
-81.1077 32.6035 13.22
-81.0694 32.5892 15.27
-81.0311 32.5749 17.07
-80.9929 32.5605 17.7
-80.9546 32.5462 16.01
-80.9164 32.5318 16.67
-80.8782 32.5174 15.07
-80.84 32.5029 16.2
-80.8018 32.4885 16.63
-80.7637 32.474 15.93
-80.7256 32.4595 15.11
-80.6875 32.445 13.81
-80.6494 32.4305 13.47
-80.6113 32.4159 13.64
-80.5733 32.4014 14.58
-80.5353 32.3868 15.16
-80.4973 32.3722 15.43
-80.4594 32.3575 15.01
