,DATE,SITENUMBER,LATITUDE,LONGITUDE,GAGE_MAX,YEAR,MONTH
27905,2015-01-31,02169500,33.99320985,-81.049815,10.96,2015,1
27906,2015-01-31,02169506,33.9875,-81.0275,4.8,2015,1
27907,2015-01-31,02169568,34.01293324,-80.982035,4.33,2015,1
27908,2015-01-31,02169570,33.98960016,-80.97425729999998,4.16,2015,1
27909,2015-01-31,02169625,33.81071,-80.8670348,16.04,2015,1
27910,2015-01-31,02171001,33.4501652,-80.1636949,28.5,2015,1
27911,2015-01-31,02171645,33.4275,-79.915,23.77,2015,1
27912,2015-01-31,02171700,33.3048893,-79.67812629999997,12.3,2015,1
27913,2015-01-31,02171800,33.20850056,-79.38255799999997,8.04,2015,1
27914,2015-01-31,02171850,33.1840565,-79.4058929,12.05,2015,1
27915,2015-01-31,02172001,33.24461337,-79.991469,9.37,2015,1
27916,2015-01-31,02172002,33.21516925,-79.9745248,8.44,2015,1
27917,2015-01-31,02172035,33.131558399999996,-79.7836887,6.7,2015,1
27918,2015-01-31,02172040,33.06378245,-79.957027,17.71,2015,1
27919,2015-01-31,02172050,33.05767134,-79.93619338,18.7,2015,1
27920,2015-01-31,021720677,32.89045228,-79.9628645,14.65,2015,1
27921,2015-01-31,021720698,32.8590638,-79.8961963,22.4,2015,1
27922,2015-01-31,021720869,32.8346201,-80.02370140000002,12.9,2015,1
27923,2015-01-31,02172300,33.75347736,-81.6017714,4.19,2015,1
27924,2015-01-31,02172558,33.52027778,-81.41027779999997,13.29,2015,1
27925,2015-01-31,02173000,33.39320916,-81.1331559,6.72,2015,1
27926,2015-01-31,02173030,33.3590442,-81.0595425,9.37,2015,1
27927,2015-01-31,02173051,33.33710079,-81.01870799999998,10.74,2015,1
27928,2015-01-31,02173212,33.69,-81.2541667,2.88,2015,1
27929,2015-01-31,02173500,33.48348715,-80.87342578,7.21,2015,1
27930,2015-01-31,02175000,33.02794645,-80.39148759999998,9.51,2015,1
27931,2015-01-31,02175500,32.98904958,-81.0526044,3.85,2015,1
27932,2015-01-31,02176500,32.836277700000004,-81.1317718,6.96,2015,1
27933,2015-01-31,02177000,34.8139814,-83.305993,,2015,1
27934,2015-01-31,02186000,34.801501200000004,-82.74847249999998,7.26,2015,1
27935,2015-01-31,02186702,34.645,-82.8005556,4.16,2015,1
27936,2015-01-31,02187910,34.38316394,-82.577352,7.13,2015,1
27937,2015-01-31,02192500,34.07150595,-82.5006853,5.89,2015,1
27938,2015-01-31,02195520,33.592911799999996,-82.12317459,17.26,2015,1
27939,2015-01-31,02196000,33.72929717,-82.1817873,14.76,2015,1
27940,2015-01-31,02196485,33.54930154,-82.03678359999998,7.2,2015,1
27941,2015-01-31,02196999,33.37319627,-81.9420599,115.6,2015,1
27942,2015-01-31,02197000,33.3737518,-81.94289329,103.34,2015,1
27943,2015-01-31,02197300,33.3848664,-81.61649799999998,,2015,1
27944,2015-01-31,02197500,32.93904727,-81.50260779999998,8.25,2015,1
27945,2015-01-31,02198375,32.70333333,-81.42833329999998,8.14,2015,1
27946,2015-01-31,02198500,32.52823709,-81.26871649,7.75,2015,1
27947,2015-01-31,02198760,32.33936049,-81.12844379,8.35,2015,1
27948,2015-02-28,02110400,33.953505,-78.71973988,11.88,2015,2
27949,2015-02-28,02110500,33.9126719,-78.7150175,10.34,2015,2
27950,2015-02-28,02110550,33.8508333,-78.8972222,7.83,2015,2
27951,2015-02-28,02110701,33.86100349,-79.04114709999998,12.89,2015,2
27952,2015-02-28,02110725,33.6871151,-79.0047569,13.28,2015,2
27953,2015-02-28,02110777,33.8515612,-78.6558483,16.48,2015,2
27954,2015-02-28,02110802,33.64905837,-79.09420639,17.95,2015,2
27955,2015-02-28,021108125,33.50655724,-79.1269867,7.28,2015,2
27956,2015-02-28,02110815,33.44461245,-79.1739341,18.52,2015,2
27957,2015-02-28,02130561,34.60626798,-79.7883963,70.52,2015,2
27958,2015-02-28,02130840,34.6633333,-80.2116667,7.94,2015,2
27959,2015-02-28,02130900,34.51404244,-80.18312440000003,8.5,2015,2
27960,2015-02-28,02130910,34.39737618,-80.14979100000002,5.9,2015,2
27961,2015-02-28,02130980,34.24376518,-79.7447833,10.26,2015,2
27962,2015-02-28,02131000,34.20432518,-79.5483896,18.54,2015,2
27963,2015-02-28,02131010,34.15738145,-79.55339040000001,25.81,2015,2
27964,2015-02-28,02131472,34.51626465,-80.58285140000002,,2015,2
